,won,goals,shots,hits,pim,C,D,LW,RW,p_away,p_home
2622,True,6,29,20,4,4.0,8.0,-1.0,9.0,1,0
2623,False,3,17,17,6,-2.0,-8.0,-6.0,-4.0,0,1
2624,True,1,22,28,7,2.0,2.0,1.0,0.0,1,0
2625,False,0,26,27,11,-2.0,-2.0,-1.0,0.0,0,1
2626,True,6,30,17,25,2.0,6.0,2.0,5.0,1,0
2627,False,1,23,19,19,-5.0,-6.0,-2.0,-3.0,0,1
2628,False,2,41,30,11,-7.0,-6.0,-1.0,-1.0,1,0
2629,True,5,30,26,11,4.0,6.0,3.0,2.0,0,1
2630,True,4,26,31,2,-1.0,2.0,3.0,0.0,1,0
2631,False,3,34,33,2,0.0,-2.0,-4.0,2.0,0,1
2632,False,2,29,31,23,-2.0,-4.0,-2.0,-2.0,1,0
2633,True,4,37,19,11,3.0,4.0,1.0,1.0,0,1
2634,True,3,29,26,10,2.0,4.0,3.0,1.0,1,0
2635,False,2,19,19,8,-2.0,-4.0,-3.0,-1.0,0,1
2636,False,2,32,27,11,-2.0,1.0,2.0,-1.0,1,0
2637,True,5,20,38,11,-1.0,0.0,-1.0,1.0,0,1
2638,True,3,32,25,6,3.0,4.0,1.0,2.0,1,0
2639,False,2,24,27,6,-2.0,-4.0,-1.0,-3.0,0,1
2640,True,4,22,19,15,-1.0,0.0,0.0,0.0,1,0
2641,False,3,25,23,15,0.0,0.0,1.0,0.0,0,1
2642,False,5,32,12,8,1.0,0.0,-1.0,0.0,1,0
2643,True,5,25,30,2,1.0,0.0,0.0,-1.0,0,1
2644,False,2,19,17,8,0.0,0.0,0.0,0.0,1,0
2645,True,3,21,23,4,1.0,0.0,0.0,-1.0,0,1
2646,True,3,21,13,13,5.0,6.0,3.0,1.0,1,0
2647,False,0,35,32,13,-6.0,-6.0,-1.0,-2.0,0,1
2648,False,0,19,33,15,0.0,0.0,0.0,0.0,1,0
2649,True,2,28,39,13,0.0,0.0,0.0,0.0,0,1
2650,False,1,21,23,25,-1.0,-2.0,-1.0,0.0,1,0
2651,True,2,27,21,6,2.0,2.0,1.0,0.0,0,1
2652,False,3,30,23,6,0.0,-3.0,0.0,-2.0,1,0
2653,True,6,30,28,4,1.0,2.0,0.0,2.0,0,1
2654,False,3,30,20,7,-7.0,-4.0,-1.0,-4.0,1,0
2655,True,5,28,26,13,3.0,6.0,3.0,2.0,0,1
2656,True,5,25,14,10,1.0,4.0,4.0,1.0,1,0
2657,False,2,32,10,10,-3.0,-4.0,-1.0,-2.0,0,1
2658,False,3,33,16,21,0.0,-2.0,-1.0,-1.0,1,0
2659,True,4,32,32,10,0.0,2.0,0.0,2.0,0,1
2660,False,3,31,23,18,-5.0,-5.0,-1.0,-4.0,1,0
2661,True,5,22,35,4,3.0,6.0,2.0,3.0,0,1
