,game_id,team_id,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,Game_away,Game_home,Game_OT,Game_REG,Game_SO
171,2015030133,4,0,1,32,45,53,5,0,55.9,17,2,0,1,0,1,0
172,2015030134,15,0,1,32,38,4,2,0,51.8,11,9,1,0,0,1,0
173,2015030134,4,1,2,25,43,4,2,1,48.2,12,5,0,1,0,1,0
174,2015030135,4,1,2,11,17,13,6,0,47.2,5,3,1,0,0,1,0
175,2015030135,15,0,0,44,35,19,3,0,52.8,4,7,0,1,0,1,0
176,2015030136,15,1,1,29,32,6,5,0,40.7,13,10,1,0,0,1,0
177,2015030136,4,0,0,26,38,10,3,0,59.3,14,7,0,1,0,1,0
178,2014030131,5,0,1,25,32,10,1,0,57.6,7,7,1,0,0,1,0
179,2014030131,3,1,2,38,32,2,5,1,42.4,11,8,0,1,0,1,0
180,2014030132,5,1,4,22,21,14,4,2,50.0,4,6,1,0,0,1,0
181,2014030132,3,0,3,26,25,8,7,1,50.0,13,9,0,1,0,1,0
182,2014030133,3,1,2,26,37,8,2,0,45.9,3,3,1,0,0,1,0
183,2014030133,5,0,1,24,43,10,2,0,54.1,8,3,0,1,0,1,0
184,2014030134,3,1,2,24,42,6,3,0,42.9,1,4,1,0,1,0,0
185,2014030134,5,0,1,23,28,6,3,0,57.1,6,2,0,1,1,0,0
186,2014030135,5,0,1,38,28,6,3,0,52.9,10,4,1,0,1,0,0
187,2014030135,3,1,2,36,36,6,3,1,47.1,19,13,0,1,1,0,0
188,2014030311,14,0,1,24,18,4,4,1,56.6,6,4,1,0,0,1,0
189,2014030311,3,1,2,30,30,8,2,0,43.4,8,10,0,1,0,1,0
190,2014030312,14,1,6,26,26,12,6,3,45.6,10,5,1,0,0,1,0
191,2014030312,3,0,2,37,28,22,5,2,54.4,14,8,0,1,0,1,0
192,2014030313,3,0,5,28,33,6,4,2,45.8,10,6,1,0,1,0,0
193,2014030313,14,1,6,40,41,10,2,1,54.2,11,8,0,1,1,0,0
194,2014030314,3,1,5,24,30,26,4,2,43.6,12,6,1,0,0,1,0
195,2014030314,14,0,1,39,32,36,4,0,56.4,11,10,0,1,0,1,0
196,2014030315,14,1,2,22,29,10,3,1,61.5,7,7,1,0,0,1,0
197,2014030315,3,0,0,26,29,8,4,0,38.5,6,6,0,1,0,1,0
198,2014030316,3,1,7,34,27,8,3,1,53.0,8,9,1,0,0,1,0
199,2014030316,14,0,3,39,22,8,3,1,47.0,11,7,0,1,0,1,0
200,2014030317,14,1,2,25,25,4,0,0,37.5,5,9,1,0,0,1,0
201,2014030317,3,0,0,22,29,0,2,0,62.5,15,5,0,1,0,1,0
202,2013030151,30,0,4,33,28,12,2,1,54.5,1,11,1,0,1,0,0
203,2013030151,21,1,5,31,41,10,4,0,45.5,6,11,0,1,1,0,0
204,2013030152,30,0,2,32,34,16,3,0,52.2,3,7,1,0,0,1,0
205,2013030152,21,1,4,29,26,16,3,1,47.8,3,9,0,1,0,1,0
206,2013030153,21,0,0,22,27,14,4,0,47.1,3,4,1,0,1,0,0
207,2013030153,30,1,1,46,33,16,3,0,52.9,3,11,0,1,1,0,0
208,2013030154,21,0,1,12,14,8,4,0,43.5,7,5,1,0,0,1,0
209,2013030154,30,1,2,32,16,8,4,1,56.5,5,10,0,1,0,1,0
210,2013030155,30,0,3,32,23,8,3,0,52.5,2,11,1,0,1,0,0
211,2013030155,21,1,4,35,34,8,3,0,47.5,8,6,0,1,1,0,0
212,2013030156,21,0,2,23,18,32,4,1,46.6,4,1,1,0,0,1,0
213,2013030156,30,1,5,23,32,34,3,1,53.4,6,9,0,1,0,1,0
214,2013030157,30,1,5,35,28,6,3,0,53.3,2,15,1,0,1,0,0
215,2013030157,21,0,4,22,28,6,3,1,46.7,8,12,0,1,1,0,0
216,2015030151,30,0,0,22,28,12,2,0,44.9,3,3,1,0,0,1,0
217,2015030151,25,1,4,32,31,4,6,1,55.1,9,7,0,1,0,1,0
218,2015030152,30,0,1,26,32,20,5,1,41.2,6,5,1,0,0,1,0
219,2015030152,25,1,2,28,28,10,5,0,58.8,17,11,0,1,0,1,0
220,2015030153,25,0,3,17,18,6,2,0,49.3,4,6,1,0,0,1,0
221,2015030153,30,1,5,25,20,6,2,1,50.7,6,10,0,1,0,1,0
222,2015030154,25,1,3,22,19,10,2,2,38.6,2,3,1,0,0,1,0
223,2015030154,30,0,2,30,27,6,3,0,61.4,1,8,0,1,0,1,0
224,2015030155,30,1,5,24,21,6,0,0,42.9,10,8,1,0,1,0,0
225,2015030155,25,0,4,41,35,2,2,0,57.1,15,5,0,1,1,0,0
226,2015030156,25,1,5,24,11,8,2,1,48.0,10,6,1,0,0,1,0
227,2015030156,30,0,4,29,26,4,4,2,52.0,3,4,0,1,0,1,0
228,2014030151,30,1,4,29,25,4,4,2,41.9,3,3,1,0,0,1,0
229,2014030151,19,0,2,21,22,18,2,0,58.1,7,6,0,1,0,1,0
230,2014030152,30,0,1,25,36,6,1,0,42.3,3,8,1,0,0,1,0
231,2014030152,19,1,4,27,36,2,3,1,57.7,3,4,0,1,0,1,0
232,2014030153,19,0,0,17,26,16,0,0,50.8,4,3,1,0,0,1,0
233,2014030153,30,1,3,24,28,0,3,0,49.2,5,17,0,1,0,1,0
234,2014030154,19,1,6,26,16,2,2,0,50.0,1,6,1,0,0,1,0
235,2014030154,30,0,1,18,26,4,1,1,50.0,8,6,0,1,0,1,0
236,2014030155,30,1,4,19,19,6,2,1,46.8,2,3,1,0,0,1,0
237,2014030155,19,0,1,37,22,6,2,1,53.2,3,6,0,1,0,1,0
238,2014030156,19,0,1,31,12,4,2,0,47.2,5,2,1,0,0,1,0
239,2014030156,30,1,4,21,15,6,1,0,52.8,5,10,0,1,0,1,0
240,2014030111,9,0,3,33,44,30,5,2,49.4,10,4,1,0,0,1,0
241,2014030111,8,1,4,39,42,33,1,0,50.6,15,10,0,1,0,1,0
242,2014030112,9,0,2,31,53,12,3,1,47.0,4,6,1,0,1,0,0
243,2014030112,8,1,3,42,41,6,6,1,53.0,10,9,0,1,1,0,0
244,2014030113,8,1,2,49,36,6,6,0,44.8,15,5,1,0,1,0,0
245,2014030113,9,0,1,34,61,14,2,0,55.2,10,6,0,1,1,0,0
246,2014030114,8,0,0,28,29,4,3,0,45.1,8,12,1,0,0,1,0
247,2014030114,9,1,1,32,34,6,2,0,54.9,7,11,0,1,0,1,0
248,2014030115,9,1,5,25,50,18,4,2,45.6,18,4,1,0,0,1,0
249,2014030115,8,0,1,46,39,20,3,0,54.4,8,3,0,1,0,1,0
250,2014030116,8,1,2,20,23,8,1,0,58.5,13,6,1,0,0,1,0
251,2014030116,9,0,0,43,45,2,4,0,41.5,14,4,0,1,0,1,0
252,2013030241,26,1,3,36,41,8,4,1,54.1,14,5,1,0,1,0,0
253,2013030241,24,0,2,35,54,8,4,0,45.9,16,6,0,1,1,0,0
254,2013030242,26,1,3,17,42,10,3,0,45.9,9,3,1,0,0,1,0
255,2013030242,24,0,1,37,53,8,4,1,54.1,9,2,0,1,0,1,0
256,2013030243,24,1,3,22,35,6,2,2,41.2,11,7,1,0,0,1,0
257,2013030243,26,0,2,31,55,8,1,1,58.8,13,4,0,1,0,1,0
258,2013030244,24,1,2,14,26,8,3,1,53.0,9,6,1,0,0,1,0
259,2013030244,26,0,0,28,52,6,4,0,47.0,21,5,0,1,0,1,0
260,2013030245,26,0,3,42,38,10,3,1,57.9,14,4,1,0,0,1,0
261,2013030245,24,1,4,24,31,10,3,1,42.1,10,8,0,1,0,1,0
262,2013030246,24,0,1,22,35,8,5,0,40.3,14,4,1,0,0,1,0
263,2013030246,26,1,2,23,39,10,4,0,59.7,23,3,0,1,0,1,0
264,2013030247,26,1,6,30,32,8,5,2,60.9,14,7,1,0,0,1,0
265,2013030247,24,0,2,27,38,14,3,0,39.1,14,3,0,1,0,1,0
266,2014030231,30,0,3,33,36,2,3,1,44.1,12,7,1,0,0,1,0
267,2014030231,16,1,4,35,34,6,1,0,55.9,12,8,0,1,0,1,0
268,2014030232,30,0,1,31,42,4,2,1,47.5,10,6,1,0,0,1,0
269,2014030232,16,1,4,31,39,4,2,0,52.5,10,6,0,1,0,1,0
270,2014030233,16,1,1,22,11,6,1,1,62.7,5,6,1,0,0,1,0
271,2014030233,30,0,0,30,20,2,3,0,37.3,7,10,0,1,0,1,0
272,2014030234,16,1,4,25,6,6,2,1,50.0,0,12,1,0,0,1,0
273,2014030234,30,0,3,37,24,4,3,1,50.0,9,2,0,1,0,1,0
